stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-10,recommended,100.0,148.4,97.8,100.0,73.3,101.0,4.00
1-10,balanced,100.0,161.6,96.4,100.0,50.0,100.5,4.00
1-10,physical_only,100.0,168.8,97.7,96.7,63.3,100.9,4.00
1-10,arcane_heavy,100.0,170.8,97.7,93.3,63.3,100.9,4.00
1-10,holy_heavy,100.0,188.0,76.9,30.0,3.3,95.0,4.00
1-10,no_blocker,80.0,164.6,97.8,80.0,63.3,100.6,4.00
1-10,spam_cheapest,13.3,199.6,45.0,3.3,0.0,24.5,4.00
1-10,all_expensive,100.0,148.4,93.5,100.0,16.7,98.7,4.00
1-10,turtle,90.0,182.8,43.3,30.0,0.0,83.4,4.00
1-10,c_only,100.0,167.9,48.2,83.3,0.0,88.2,4.00
1-10,r_only,100.0,160.1,91.0,96.7,13.3,99.2,4.00
1-20,recommended,100.0,228.0,85.7,63.3,6.7,105.3,6.00
1-20,balanced,93.3,261.9,88.6,16.7,0.0,105.9,6.00
1-20,physical_only,100.0,267.2,85.0,10.0,0.0,105.1,6.00
1-20,arcane_heavy,70.0,247.5,98.7,56.7,10.0,108.7,6.00
1-20,holy_heavy,90.0,283.1,58.6,3.3,0.0,97.1,6.00
1-20,no_blocker,3.3,256.1,100.0,3.3,0.0,108.0,6.00
1-20,spam_cheapest,0.0,0.0,0.0,0.0,0.0,6.6,3.90
1-20,all_expensive,20.0,199.6,82.0,20.0,0.0,104.4,6.00
1-20,turtle,0.0,0.0,0.0,0.0,0.0,19.4,3.90
1-20,c_only,13.3,286.0,10.0,0.0,0.0,47.0,4.17
1-20,r_only,100.0,223.7,74.3,53.3,3.3,102.4,6.00
2-10,recommended,100.0,203.0,108.3,86.7,23.3,122.0,5.00
2-10,balanced,93.3,216.7,109.1,80.0,13.3,121.9,5.00
2-10,physical_only,100.0,230.2,104.0,20.0,0.0,121.0,5.00
2-10,arcane_heavy,63.3,240.5,108.7,43.3,0.0,121.5,5.00
2-10,holy_heavy,33.3,254.0,61.4,6.7,0.0,65.2,4.33
2-10,no_blocker,6.7,208.4,99.5,3.3,0.0,118.4,5.00
2-10,spam_cheapest,0.0,0.0,0.0,0.0,0.0,19.7,3.37
2-10,all_expensive,50.0,166.5,76.3,46.7,0.0,113.2,5.00
2-10,turtle,33.3,310.5,103.8,20.0,0.0,120.8,5.00
2-10,c_only,96.7,248.8,108.3,70.0,0.0,121.9,5.00
2-10,r_only,100.0,208.5,99.9,20.0,0.0,119.1,5.00
2-20,recommended,100.0,192.7,55.8,53.3,0.0,61.5,5.00
2-20,balanced,100.0,227.2,77.9,10.0,0.0,64.7,5.00
2-20,physical_only,26.7,235.9,22.8,6.7,0.0,53.3,4.97
2-20,arcane_heavy,50.0,227.4,96.5,3.3,0.0,68.9,5.00
2-20,holy_heavy,63.3,287.6,39.5,0.0,0.0,54.2,5.00
2-20,no_blocker,3.3,234.2,110.0,3.3,0.0,69.1,5.00
2-20,spam_cheapest,0.0,0.0,0.0,0.0,0.0,2.4,3.97
2-20,all_expensive,10.0,187.1,88.3,6.7,0.0,65.5,5.00
2-20,turtle,3.3,372.5,15.0,0.0,0.0,8.1,3.97
2-20,c_only,0.0,0.0,0.0,0.0,0.0,22.6,4.07
2-20,r_only,40.0,228.5,28.6,0.0,0.0,55.6,5.00
3-10,recommended,100.0,204.8,114.1,80.0,30.0,109.4,5.00
3-10,balanced,100.0,223.0,109.4,60.0,3.3,108.7,5.00
3-10,physical_only,100.0,233.9,74.9,23.3,0.0,103.9,5.00
3-10,arcane_heavy,53.3,260.2,117.4,26.7,0.0,109.1,5.00
3-10,holy_heavy,100.0,221.1,96.4,43.3,3.3,106.8,5.00
3-10,no_blocker,3.3,232.7,52.0,0.0,0.0,100.3,5.00
3-10,spam_cheapest,0.0,0.0,0.0,0.0,0.0,9.4,3.03
3-10,all_expensive,13.3,189.0,67.5,10.0,0.0,98.2,4.93
3-10,turtle,0.0,0.0,0.0,0.0,0.0,45.4,4.00
3-10,c_only,3.3,315.5,50.0,0.0,0.0,61.1,4.07
3-10,r_only,80.0,226.2,40.0,13.3,0.0,90.1,4.77
3-20,recommended,100.0,172.1,117.7,100.0,73.3,73.0,5.00
3-20,balanced,96.7,186.1,78.2,93.3,6.7,68.6,5.00
3-20,physical_only,96.7,208.5,56.0,50.0,0.0,66.4,4.97
3-20,arcane_heavy,96.7,190.1,68.1,93.3,20.0,68.8,5.00
3-20,holy_heavy,76.7,193.9,51.1,66.7,6.7,60.2,4.93
3-20,no_blocker,3.3,176.4,12.0,3.3,0.0,9.1,2.20
3-20,spam_cheapest,0.0,0.0,0.0,0.0,0.0,9.7,4.10
3-20,all_expensive,10.0,162.8,24.0,10.0,0.0,16.8,2.60
3-20,turtle,0.0,0.0,0.0,0.0,0.0,21.6,4.87
3-20,c_only,13.3,258.8,74.0,3.3,0.0,47.8,5.00
3-20,r_only,20.0,198.0,38.7,16.7,0.0,46.6,4.57
