stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
2-1,recommended,100.0,130.6,107.8,100.0,76.0,143.0,5.00
2-1,balanced,100.0,130.7,106.3,100.0,48.0,142.4,5.00
2-1,physical_only,100.0,130.5,103.6,100.0,22.0,141.3,5.00
2-1,arcane_heavy,100.0,131.6,107.6,100.0,72.0,143.0,5.00
2-1,holy_heavy,100.0,143.7,94.7,100.0,12.0,138.1,5.00
2-1,no_blocker,100.0,130.5,101.9,100.0,14.0,140.6,5.00
2-1,spam_cheapest,34.0,153.2,71.2,28.0,4.0,80.2,4.92
2-1,all_expensive,100.0,130.7,101.5,100.0,12.0,140.5,5.00
2-1,turtle,100.0,142.2,106.0,100.0,70.0,142.4,5.00
2-1,c_only,100.0,130.5,106.7,100.0,60.0,142.5,5.00
2-1,r_only,100.0,130.5,100.4,100.0,16.0,140.0,5.00
2-2,recommended,100.0,129.8,107.8,100.0,76.0,146.0,5.00
2-2,balanced,100.0,131.5,107.7,100.0,74.0,146.0,5.00
2-2,physical_only,100.0,132.0,107.1,100.0,64.0,145.7,5.00
2-2,arcane_heavy,100.0,137.9,102.5,100.0,42.0,144.1,5.00
2-2,holy_heavy,98.0,142.5,90.6,98.0,22.0,139.0,5.00
2-2,no_blocker,100.0,129.8,106.2,100.0,50.0,145.5,5.00
2-2,spam_cheapest,16.0,138.5,86.1,16.0,6.0,27.8,3.84
2-2,all_expensive,100.0,130.6,102.8,100.0,42.0,144.2,5.00
2-2,turtle,100.0,142.2,105.9,100.0,62.0,145.3,5.00
2-2,c_only,100.0,130.1,107.8,100.0,76.0,146.0,5.00
2-2,r_only,100.0,129.8,106.0,100.0,48.0,145.2,5.00
2-3,recommended,100.0,135.9,107.9,100.0,74.0,145.0,6.00
2-3,balanced,100.0,137.9,107.9,100.0,74.0,145.0,6.00
2-3,physical_only,100.0,137.6,107.9,100.0,74.0,145.0,6.00
2-3,arcane_heavy,100.0,142.0,107.9,100.0,70.0,145.0,6.00
2-3,holy_heavy,100.0,147.3,100.6,100.0,34.0,142.6,6.00
2-3,no_blocker,100.0,136.1,106.5,100.0,50.0,144.5,6.00
2-3,spam_cheapest,20.0,143.6,93.8,20.0,10.0,45.4,4.70
2-3,all_expensive,100.0,137.3,101.0,100.0,14.0,142.3,6.00
2-3,turtle,100.0,148.0,107.8,100.0,72.0,145.0,6.00
2-3,c_only,100.0,136.4,107.6,100.0,68.0,144.9,6.00
2-3,r_only,100.0,137.3,105.8,100.0,44.0,144.2,6.00
2-4,recommended,100.0,136.2,107.9,100.0,74.0,138.0,6.00
2-4,balanced,100.0,138.0,106.2,100.0,62.0,137.8,6.00
2-4,physical_only,100.0,136.5,107.9,100.0,74.0,138.0,6.00
2-4,arcane_heavy,100.0,138.8,107.9,100.0,74.0,138.0,6.00
2-4,holy_heavy,98.0,145.0,83.1,98.0,14.0,132.5,5.98
2-4,no_blocker,100.0,136.3,68.7,100.0,0.0,133.1,6.00
2-4,spam_cheapest,22.0,148.5,89.9,20.0,10.0,58.2,4.72
2-4,all_expensive,100.0,137.1,94.6,100.0,20.0,136.2,6.00
2-4,turtle,98.0,147.8,101.6,98.0,48.0,136.3,6.00
2-4,c_only,100.0,136.5,107.5,100.0,70.0,138.0,6.00
2-4,r_only,100.0,136.2,96.4,100.0,12.0,135.8,6.00
2-5,recommended,100.0,135.8,107.9,100.0,74.0,110.0,6.00
2-5,balanced,100.0,143.7,107.9,100.0,74.0,110.0,6.00
2-5,physical_only,100.0,139.3,107.9,100.0,74.0,110.0,6.00
2-5,arcane_heavy,100.0,146.9,107.9,100.0,74.0,110.0,6.00
2-5,holy_heavy,100.0,155.8,106.3,100.0,62.0,109.7,6.00
2-5,no_blocker,100.0,135.8,102.7,100.0,28.0,108.4,6.00
2-5,spam_cheapest,16.0,154.0,93.1,14.0,10.0,23.6,4.30
2-5,all_expensive,100.0,136.8,106.1,100.0,54.0,109.5,6.00
2-5,turtle,100.0,166.4,107.9,98.0,68.0,110.0,6.00
2-5,c_only,100.0,138.0,107.9,100.0,74.0,110.0,6.00
2-5,r_only,100.0,137.2,107.9,100.0,74.0,110.0,6.00
2-6,recommended,100.0,95.4,107.7,100.0,76.0,69.6,3.78
