stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-5,recommended,100.0,75.0,98.8,100.0,93.3,43.0,2.00
1-5,balanced,100.0,89.8,98.8,100.0,86.7,43.0,2.00
1-5,physical_only,100.0,93.9,98.8,96.7,53.3,43.0,2.00
1-5,arcane_heavy,100.0,90.0,98.8,96.7,70.0,43.0,2.00
1-5,holy_heavy,100.0,118.6,98.2,83.3,6.7,42.9,2.00
1-5,no_blocker,100.0,86.3,98.3,96.7,70.0,42.9,2.00
1-5,spam_cheapest,3.3,72.0,100.0,3.3,3.3,1.5,2.00
1-5,all_expensive,100.0,79.8,98.8,100.0,93.3,43.0,2.00
1-5,turtle,100.0,129.7,98.8,93.3,3.3,43.0,2.00
1-10,recommended,100.0,163.9,97.2,100.0,70.0,114.9,4.00
1-10,balanced,100.0,189.3,87.4,40.0,6.7,112.3,4.00
1-10,physical_only,100.0,209.6,82.7,23.3,0.0,111.1,4.00
1-10,arcane_heavy,100.0,204.9,86.0,50.0,10.0,114.2,4.00
1-10,holy_heavy,16.7,173.9,59.2,13.3,0.0,68.4,4.00
1-10,no_blocker,86.7,194.6,27.4,3.3,0.0,105.6,4.00
1-10,spam_cheapest,10.0,207.7,34.7,3.3,0.0,22.1,4.00
1-10,all_expensive,100.0,166.2,78.1,83.3,6.7,109.8,4.00
1-10,turtle,23.3,180.0,35.0,13.3,0.0,71.0,4.00
