stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-1,recommended,100.0,37.6,30.0,100.0,90.0,22.0,1.00
1-1,balanced,100.0,40.9,30.0,100.0,86.7,22.0,1.00
1-1,physical_only,100.0,37.1,30.0,100.0,90.0,22.0,1.00
1-1,arcane_heavy,100.0,38.9,30.0,100.0,90.0,22.0,1.00
1-1,holy_heavy,100.0,50.2,30.0,90.0,6.7,22.0,1.00
1-1,no_blocker,100.0,37.4,30.0,100.0,90.0,22.0,1.00
1-1,spam_cheapest,100.0,51.7,30.0,93.3,13.3,22.0,1.00
1-1,all_expensive,100.0,44.6,30.0,100.0,66.7,22.0,1.00
1-1,turtle,100.0,49.0,30.0,90.0,3.3,22.0,1.00
1-1,siege_heavy,100.0,57.9,30.0,90.0,0.0,22.0,1.00
1-1,c_only,100.0,41.0,30.0,100.0,86.7,22.0,1.00
1-1,r_only,100.0,36.8,30.0,100.0,90.0,22.0,1.00
1-2,recommended,100.0,45.5,36.0,100.0,90.0,25.0,1.00
1-2,balanced,100.0,46.3,36.0,100.0,80.0,25.0,1.00
1-2,physical_only,100.0,44.5,36.0,100.0,90.0,25.0,1.00
1-2,arcane_heavy,100.0,44.5,36.0,100.0,90.0,25.0,1.00
1-2,holy_heavy,100.0,50.2,36.0,100.0,86.7,25.0,1.00
1-2,no_blocker,100.0,43.4,36.0,100.0,90.0,25.0,1.00
1-2,spam_cheapest,100.0,56.7,36.0,90.0,0.0,25.0,1.00
1-2,all_expensive,100.0,51.5,36.0,100.0,66.7,25.0,1.00
1-2,turtle,100.0,56.1,36.0,93.3,3.3,25.0,1.00
1-2,siege_heavy,100.0,68.8,36.0,90.0,0.0,25.0,1.00
1-2,c_only,100.0,52.4,36.0,93.3,56.7,25.0,1.00
1-2,r_only,100.0,43.6,36.0,100.0,90.0,25.0,1.00
1-3,recommended,100.0,44.0,60.0,100.0,90.0,31.0,1.00
1-3,balanced,100.0,48.4,60.0,100.0,76.7,31.0,1.00
1-3,physical_only,100.0,44.8,60.0,100.0,90.0,31.0,1.00
1-3,arcane_heavy,100.0,48.6,60.0,100.0,86.7,31.0,1.00
1-3,holy_heavy,100.0,58.1,60.0,90.0,6.7,31.0,1.00
1-3,no_blocker,100.0,47.3,60.0,100.0,90.0,31.0,1.00
1-3,spam_cheapest,100.0,63.5,60.0,90.0,0.0,31.0,1.00
1-3,all_expensive,100.0,53.4,57.9,70.0,20.0,29.9,1.00
1-3,turtle,100.0,60.5,60.0,90.0,0.0,31.0,1.00
1-3,siege_heavy,100.0,71.3,60.0,90.0,0.0,31.0,1.00
1-3,c_only,100.0,52.1,60.0,100.0,66.7,31.0,1.00
1-3,r_only,100.0,46.2,60.0,100.0,90.0,31.0,1.00
1-4,recommended,100.0,55.3,100.0,100.0,86.7,40.0,2.00
1-4,balanced,100.0,57.3,100.0,100.0,80.0,40.0,2.00
1-4,physical_only,100.0,54.9,100.0,100.0,86.7,40.0,2.00
1-4,arcane_heavy,100.0,60.2,100.0,93.3,50.0,40.0,2.00
1-4,holy_heavy,100.0,78.3,100.0,90.0,3.3,40.0,2.00
1-4,no_blocker,100.0,54.6,100.0,100.0,90.0,40.0,2.00
1-4,spam_cheapest,100.0,160.6,100.0,90.0,0.0,40.0,2.00
1-4,all_expensive,100.0,63.9,99.3,76.7,6.7,39.8,2.00
1-4,turtle,100.0,78.1,100.0,90.0,0.0,40.0,2.00
1-4,siege_heavy,100.0,91.6,100.0,90.0,0.0,40.0,2.00
1-4,c_only,100.0,60.3,100.0,93.3,56.7,40.0,2.00
1-4,r_only,100.0,58.3,100.0,93.3,70.0,40.0,2.00
1-5,recommended,100.0,69.5,100.0,96.7,76.7,36.0,2.00
1-5,balanced,100.0,74.4,100.0,90.0,33.3,36.0,2.00
1-5,physical_only,100.0,77.3,100.0,90.0,13.3,36.0,2.00
1-5,arcane_heavy,100.0,75.1,100.0,90.0,20.0,36.0,2.00
1-5,holy_heavy,100.0,98.1,100.0,90.0,0.0,36.0,2.00
1-5,no_blocker,100.0,63.6,100.0,100.0,90.0,36.0,2.00
1-5,spam_cheapest,10.0,369.5,100.0,3.3,0.0,31.6,2.00
1-5,all_expensive,100.0,80.5,99.8,86.7,6.7,36.0,2.00
1-5,turtle,100.0,106.7,100.0,90.0,0.0,36.0,2.00
1-5,siege_heavy,100.0,116.5,100.0,90.0,0.0,36.0,2.00
1-5,c_only,100.0,71.1,100.0,100.0,66.7,36.0,2.00
1-5,r_only,100.0,65.5,100.0,100.0,90.0,36.0,2.00
1-6,recommended,100.0,81.8,100.0,100.0,76.7,74.0,3.00
1-6,balanced,100.0,80.6,100.0,100.0,76.7,74.0,3.00
1-6,physical_only,100.0,79.5,100.0,100.0,83.3,74.0,3.00
1-6,arcane_heavy,100.0,84.1,100.0,96.7,63.3,74.0,3.00
1-6,holy_heavy,100.0,100.7,100.0,83.3,3.3,74.0,3.00
1-6,no_blocker,100.0,77.1,100.0,100.0,83.3,74.0,3.00
1-6,spam_cheapest,100.0,243.7,8.0,0.0,0.0,51.0,3.00
1-6,all_expensive,100.0,93.0,9.3,16.7,0.0,51.2,3.00
1-6,turtle,100.0,114.0,8.0,0.0,0.0,51.0,3.00
1-6,siege_heavy,100.0,116.0,58.9,0.0,0.0,63.7,3.00
1-6,c_only,100.0,80.1,85.1,96.7,3.3,70.3,3.00
1-6,r_only,100.0,80.1,100.0,100.0,80.0,74.0,3.00
1-7,recommended,100.0,100.8,100.0,96.7,76.7,86.0,4.00
1-7,balanced,100.0,104.4,100.0,90.0,60.0,86.0,4.00
1-7,physical_only,100.0,102.7,100.0,93.3,66.7,86.0,4.00
1-7,arcane_heavy,100.0,102.2,100.0,96.7,70.0,86.0,4.00
1-7,holy_heavy,100.0,121.0,90.7,10.0,3.3,83.7,4.00
1-7,no_blocker,100.0,99.9,100.0,96.7,80.0,86.0,4.00
1-7,spam_cheapest,0.0,0.0,0.0,0.0,0.0,14.1,3.00
1-7,all_expensive,6.7,113.1,21.5,0.0,0.0,28.6,3.07
1-7,turtle,0.0,0.0,0.0,0.0,0.0,18.4,3.00
1-7,siege_heavy,100.0,131.7,66.9,0.0,0.0,77.7,4.00
1-7,c_only,100.0,102.2,76.1,90.0,3.3,80.0,4.00
1-7,r_only,100.0,99.8,100.0,96.7,80.0,86.0,4.00
1-8,recommended,100.0,129.5,100.0,96.7,66.7,101.0,5.00
1-8,balanced,100.0,130.4,100.0,93.3,63.3,101.0,5.00
1-8,physical_only,100.0,130.7,100.0,93.3,60.0,101.0,5.00
1-8,arcane_heavy,100.0,130.4,100.0,96.7,70.0,101.0,5.00
1-8,holy_heavy,100.0,144.1,83.3,10.0,3.3,96.8,5.00
1-8,no_blocker,100.0,128.2,100.0,96.7,76.7,101.0,5.00
1-8,spam_cheapest,0.0,0.0,0.0,0.0,0.0,4.8,4.20
1-8,all_expensive,10.0,146.2,16.0,0.0,0.0,46.7,4.30
1-8,turtle,0.0,0.0,0.0,0.0,0.0,22.6,4.20
1-8,siege_heavy,100.0,180.8,38.7,0.0,0.0,85.7,5.00
1-8,c_only,100.0,132.0,64.0,60.0,0.0,92.0,5.00
1-8,r_only,100.0,129.0,100.0,96.7,70.0,101.0,5.00
1-9,recommended,93.3,172.0,99.4,76.7,3.3,147.7,6.00
1-9,balanced,40.0,184.0,88.1,33.3,0.0,117.2,6.00
1-9,physical_only,3.3,173.7,100.0,3.3,0.0,90.6,6.00
1-9,arcane_heavy,20.0,180.7,88.0,16.7,0.0,103.3,6.00
