sigilId,picks,pickRatePct
arcane_focus,99,6.11
aura_frost,54,3.33
battering_charge,27,1.67
bulwark,45,2.78
burning_reserves,9,0.56
chain_lightning,45,2.78
commanders_edge,63,3.89
execute,63,3.89
field_repair,27,1.67
flak_rounds,45,2.78
frozen_ground,45,2.78
hallowed_edge,27,1.67
hardened_ranks,36,2.22
heavy_shot,45,2.78
iron_hide,54,3.33
mana_well,90,5.56
piercing_arrow,90,5.56
rallying_cry,63,3.89
rapid_fire,90,5.56
reckless_advance,45,2.78
reinforced_ark,72,4.44
rift_siphon,90,5.56
sharpened_blades,54,3.33
shockwave,45,2.78
siege_calibration,63,3.89
spoils_of_war,45,2.78
swarm_doctrine,54,3.33
tax_of_the_dead,63,3.89
thin_line,27,1.67
wide_command,45,2.78
