stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-8,recommended,100.0,78.8,98.7,100.0,87.5,43.7,3.00
1-8,balanced,100.0,78.8,88.3,100.0,2.5,32.0,3.00
1-8,physical_only,100.0,78.8,87.5,100.0,2.5,36.2,3.00
1-8,arcane_heavy,100.0,78.8,98.7,100.0,87.5,41.4,3.00
1-8,holy_heavy,100.0,78.8,75.7,100.0,2.5,20.0,3.00
1-8,no_blocker,100.0,78.8,98.7,100.0,87.5,45.9,3.00
1-8,spam_cheapest,100.0,78.8,31.5,100.0,0.0,4.9,3.00
1-8,all_expensive,100.0,78.8,87.3,100.0,2.5,40.9,3.00
1-8,turtle,100.0,78.8,31.5,100.0,0.0,9.3,3.00
1-9,recommended,92.5,152.2,85.3,92.5,10.0,143.3,6.00
1-9,balanced,32.5,155.0,52.9,32.5,2.5,81.0,5.33
1-9,physical_only,12.5,158.2,34.4,12.5,0.0,33.4,3.58
1-9,arcane_heavy,22.5,153.5,70.3,22.5,0.0,69.2,5.05
1-9,holy_heavy,10.0,145.8,26.0,10.0,0.0,19.7,3.30
1-9,no_blocker,10.0,169.9,39.0,7.5,0.0,73.3,5.40
1-9,spam_cheapest,0.0,0.0,0.0,0.0,0.0,7.9,3.00
1-9,all_expensive,50.0,161.8,46.1,45.0,0.0,114.0,5.92
1-9,turtle,0.0,0.0,0.0,0.0,0.0,13.8,3.02
1-10,recommended,100.0,152.7,97.7,100.0,77.5,101.0,4.00
1-10,balanced,100.0,172.4,96.3,90.0,42.5,100.6,4.00
1-10,physical_only,100.0,185.0,97.5,85.0,30.0,101.0,4.00
1-10,arcane_heavy,100.0,189.6,97.5,85.0,25.0,101.2,4.00
1-10,holy_heavy,100.0,186.5,75.4,30.0,5.0,95.0,4.00
1-10,no_blocker,100.0,183.5,64.1,35.0,25.0,100.1,4.00
1-10,spam_cheapest,17.5,162.6,46.3,15.0,0.0,27.3,4.00
1-10,all_expensive,100.0,155.3,93.3,100.0,20.0,98.8,4.00
1-10,turtle,92.5,179.0,44.3,35.0,0.0,84.3,4.00
