stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
4-1,recommended,100.0,138.5,124.8,100.0,60.0,149.9,6.00
4-2,recommended,100.0,140.5,122.8,100.0,40.0,156.3,6.00
4-3,recommended,100.0,142.0,124.6,100.0,60.0,134.9,6.00
4-4,recommended,100.0,145.6,118.4,100.0,20.0,151.4,6.00
4-5,recommended,100.0,139.0,118.8,100.0,40.0,132.3,6.00
4-6,recommended,100.0,144.8,125.2,100.0,60.0,138.6,6.00
4-7,recommended,100.0,140.0,119.0,100.0,20.0,141.3,6.00
4-8,recommended,100.0,78.8,126.2,100.0,70.0,24.5,3.00
4-9,recommended,100.0,149.1,53.6,100.0,0.0,102.2,6.00
4-10,recommended,70.0,241.8,124.0,60.0,0.0,93.7,5.00
4-11,recommended,100.0,140.1,125.2,100.0,60.0,118.9,6.00
4-12,recommended,100.0,144.5,65.4,100.0,0.0,110.7,6.00
4-13,recommended,100.0,84.0,84.9,100.0,0.0,2.1,3.10
4-14,recommended,100.0,149.8,115.0,100.0,60.0,135.3,6.00
4-15,recommended,100.0,142.8,124.8,100.0,60.0,115.9,6.00
4-16,recommended,100.0,144.9,125.2,100.0,60.0,97.2,5.80
4-17,recommended,100.0,150.6,81.5,100.0,10.0,99.7,6.00
4-18,recommended,100.0,78.8,126.8,100.0,80.0,21.7,3.00
4-19,recommended,50.0,145.6,76.2,50.0,0.0,64.6,5.30
4-20,recommended,60.0,239.3,110.7,40.0,10.0,95.8,6.00
5-1,recommended,100.0,138.8,134.9,100.0,60.0,143.0,6.00
5-2,recommended,100.0,160.1,70.3,90.0,0.0,128.2,6.00
5-3,recommended,100.0,140.8,124.2,100.0,10.0,151.7,6.00
5-4,recommended,100.0,143.4,97.4,100.0,0.0,103.9,6.00
5-5,recommended,100.0,146.4,105.2,100.0,20.0,116.3,6.00
5-6,recommended,100.0,147.3,90.8,100.0,0.0,92.5,6.00
5-7,recommended,100.0,140.9,118.9,100.0,30.0,104.5,6.00
5-8,recommended,100.0,78.8,136.6,100.0,80.0,10.4,3.00
5-9,recommended,80.0,147.6,73.1,80.0,20.0,77.3,5.60
5-10,recommended,80.0,219.6,90.6,50.0,0.0,88.0,6.00
5-11,recommended,100.0,146.0,117.9,100.0,30.0,111.8,6.00
5-12,recommended,100.0,162.5,101.9,90.0,30.0,113.3,6.00
5-13,recommended,100.0,91.0,54.3,100.0,0.0,0.0,4.00
5-14,recommended,100.0,142.7,134.9,100.0,60.0,77.0,6.00
5-15,recommended,10.0,153.3,10.0,10.0,0.0,13.7,3.60
5-16,recommended,90.0,177.5,53.8,50.0,0.0,61.3,6.00
5-17,recommended,100.0,159.0,42.2,100.0,0.0,67.3,6.00
5-18,recommended,100.0,78.8,128.8,100.0,50.0,17.8,3.00
5-19,recommended,20.0,154.9,8.0,20.0,0.0,30.6,4.50
5-20,recommended,60.0,183.5,50.5,60.0,0.0,53.5,6.00
